model_key,model_name,output_kind,band_index,band,global_mae_mean,global_mae_median,global_rmse_mean,global_psnr_mean,global_bias_mean,mask_mae_mean,mask_mae_median,mask_rmse_mean,mask_psnr_mean,mask_bias_mean,n_samples,n_mask_valid
gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,raw,3,B4,0.05546303095858699,0.03659416548907757,0.06898724133012972,25.23729153095999,0.03687906023939528,0.030204070662643683,0.023737594485282898,0.03563236215433063,30.272921673045754,-0.016166695424170624,192,141
gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,raw,4,B5,0.05342534901865292,0.03676293417811394,0.06578914489364251,25.697881379693854,0.042454753116241285,0.026866278472415944,0.0211181640625,0.031503248621119896,31.214263227004956,-0.00940453313761275,192,141
gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,raw,5,B6,0.053330121447894875,0.042365821078419685,0.07041788522716767,24.662509364929434,0.0423156597231961,0.02610738358149926,0.02028052881360054,0.030490202857769717,31.50642451917881,-0.011685805060345092,192,141
gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,raw,6,B7,0.06294042806500026,0.05501212179660797,0.09098036988386109,22.498984183925916,0.049144243149688314,0.02905133436268843,0.02404366433620453,0.033872387047941536,30.394298805785375,-0.014206610888871034,192,141
gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,raw,7,B8,0.05446431285721095,0.04663338325917721,0.07294170407597751,23.757705222879725,0.038724906462448416,0.02701657547793807,0.02278217487037182,0.0324295764233575,30.73152649699384,-0.006597237659520007,192,141
gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,raw,8,B8A,0.06971226944976176,0.06155888922512531,0.09656421315351811,21.886768263699278,0.05500034141490081,0.029576623792502473,0.024793844670057297,0.035182367881217175,30.03247298293082,-0.007369734594649086,192,141
gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,raw,9,B9,0.07472931084096975,0.06134846620261669,0.09437313812668435,22.283303054787904,0.06954020180152536,0.029784548832830174,0.026245994493365288,0.033558862631240395,30.61816193414193,0.01772239655982835,192,141
gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,raw,10,B10,0.02596256262404495,0.014500395860522985,0.034350738630261425,34.07845069941602,0.024588946286106268,0.0064795049514657825,0.00354053545743227,0.007939028513672768,46.09777579745263,-0.000815366655649299,192,141
gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,raw,11,B11,0.06088207017213184,0.056307053193449974,0.0806655203147481,22.9246452826973,0.017611690098419785,0.041081200426457624,0.03207096457481384,0.04880730574467902,27.581002105830514,-0.010726126303057457,192,141
gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,raw,12,B12,0.05175375536055071,0.04915848560631275,0.06847736628454489,24.19935719191319,0.03147676482331008,0.03716260536263386,0.028426671400666237,0.04325526279980718,29.2497478584567,-0.0020525885385903695,192,141
