split,variable,n_pixels,min,p01,p05,p25,median,mean,p75,p95,p99,max,std,quantile_method
test,S2_B9_all_t,50331648,0.003800000064074993,0.0091552734375,0.0460205078125,0.0782470703125,0.1060791015625,0.16110091063995138,0.1763916015625,0.5025634765625,0.6143798828125,0.8852999806404114,0.13908525345433317,4096-bin histogram over all pixels; maximum bin error 1/4096
test,pseudo_target_B9,12582912,0.006572853773832321,0.0128173828125,0.0360107421875,0.0711669921875,0.0885009765625,0.09218052714760872,0.1102294921875,0.1549072265625,0.1951904296875,0.5334235429763794,0.03670578264733169,4096-bin histogram over all pixels; maximum bin error 1/4096
test,S2_B10_all_t,50331648,0.0003000000142492354,0.0008544921875,0.0010986328125,0.0015869140625,0.0025634765625,0.031766927644121194,0.0357666015625,0.1617431640625,0.3421630859375,0.6074000000953674,0.06611175552266506,4096-bin histogram over all pixels; maximum bin error 1/4096
test,pseudo_target_B10,12582912,0.0007732891826890409,0.0013427734375,0.0013427734375,0.0020751953125,0.0028076171875,0.004624740331221955,0.0047607421875,0.0101318359375,0.0396728515625,0.3165399432182312,0.007342152306391851,4096-bin histogram over all pixels; maximum bin error 1/4096
test,S2_B11_all_t,50331648,0.0010999999940395355,0.0074462890625,0.0809326171875,0.1649169921875,0.2286376953125,0.23696679373986104,0.3006591796875,0.4215087890625,0.5238037109375,1.0,0.10480081565074335,4096-bin histogram over all pixels; maximum bin error 1/4096
test,pseudo_target_B11,12582912,0.0035144768189638853,0.0101318359375,0.0435791015625,0.1370849609375,0.2032470703125,0.20982081805223066,0.2796630859375,0.3760986328125,0.4410400390625,0.9916583895683289,0.09861198578529876,4096-bin histogram over all pixels; maximum bin error 1/4096
test,S2_B12_all_t,50331648,9.999999747378752e-05,0.0052490234375,0.0609130859375,0.1270751953125,0.1929931640625,0.1987599698217822,0.2613525390625,0.3621826171875,0.4481201171875,1.0,0.09492130138120075,4096-bin histogram over all pixels; maximum bin error 1/4096
test,pseudo_target_B12,12582912,0.0018152198754251003,0.0076904296875,0.0286865234375,0.0999755859375,0.1580810546875,0.16676577490674208,0.2286376953125,0.3167724609375,0.3707275390625,0.9927164912223816,0.08635238176016247,4096-bin histogram over all pixels; maximum bin error 1/4096
test,S1_VV_all_t,50331648,0.0,0.3131103515625,0.4144287109375,0.5279541015625,0.5950927734375,0.5963283647821744,0.6632080078125,0.7828369140625,0.8917236328125,1.0,0.11219727432644196,4096-bin histogram over all pixels; maximum bin error 1/4096
test,S1_VH_all_t,50331648,0.0,0.0557861328125,0.1722412109375,0.2899169921875,0.3656005859375,0.364641719084011,0.4420166015625,0.5518798828125,0.6417236328125,1.0,0.11703115338270552,4096-bin histogram over all pixels; maximum bin error 1/4096
test,cloud_probability_t0,12582912,0.015989379957318306,0.0230712890625,0.0296630859375,0.0526123046875,0.0787353515625,0.12555521783849924,0.1051025390625,0.6007080078125,0.6961669921875,0.8679715394973755,0.15675373134234113,4096-bin histogram over all pixels; maximum bin error 1/4096
test,cloud_probability_t1,12582912,0.01969742216169834,0.0328369140625,0.0489501953125,0.0726318359375,0.1148681640625,0.2342587535157065,0.3841552734375,0.6588134765625,0.7159423828125,0.8075549602508545,0.22268319330725184,4096-bin histogram over all pixels; maximum bin error 1/4096
test,cloud_probability_t2,12582912,0.013802236877381802,0.0211181640625,0.0245361328125,0.0499267578125,0.0819091796875,0.10757981922392375,0.1036376953125,0.5123291015625,0.6324462890625,0.7584772109985352,0.12434874681736774,4096-bin histogram over all pixels; maximum bin error 1/4096
test,cloud_probability_t3,12582912,0.029665453359484673,0.0689697265625,0.0855712890625,0.1575927734375,0.3739013671875,0.4002736723496274,0.6383056640625,0.7249755859375,0.7662353515625,0.8383118510246277,0.2349661708074846,4096-bin histogram over all pixels; maximum bin error 1/4096
test,soft_cloud_mask_t0,12582912,0.0,0.0001220703125,0.0001220703125,0.0001220703125,0.0198974609375,0.18433383413795637,0.2052001953125,0.9998779296875,0.9998779296875,1.0,0.3129294733550604,4096-bin histogram over all pixels; maximum bin error 1/4096
